year,Top-1_Accuracy,Top-5_Hit_Rate,MRR,Num_Predictions,Top-1_Accuracy_Percent,Top-5_Hit_Rate_Percent,MRR_Percent,Model_Used,Model_Display
2014,0.0318,0.2427,0.0983,65891,3.18,24.27,9.83,qwen2.5_14b,Qwen2.5 14B
2015,0.0319,0.2506,0.1022,66672,3.19,25.06,10.22,qwen2.5_14b,Qwen2.5 14B
2016,0.0309,0.257,0.1024,70875,3.09,25.7,10.24,qwen2.5_14b,Qwen2.5 14B
2017,0.0285,0.2735,0.1023,81342,2.85,27.35,10.23,qwen2.5_14b,Qwen2.5 14B
2018,0.0282,0.2703,0.1015,78382,2.82,27.03,10.15,qwen2.5_14b,Qwen2.5 14B
2019,0.0297,0.2765,0.1058,142037,2.97,27.65,10.58,qwen2.5_14b,Qwen2.5 14B
2020,0.037,0.308,0.1224,13937,3.7,30.8,12.24,qwen2.5_14b,Qwen2.5 14B
2021,0.022,0.2267,0.0846,21983,2.2,22.67,8.46,qwen2.5_14b,Qwen2.5 14B
2022,0.022,0.2454,0.0904,72904,2.2,24.54,9.04,qwen2.5_14b,Qwen2.5 14B
2023,0.0245,0.2598,0.0957,10704,2.45,25.98,9.57,qwen2.5_14b,Qwen2.5 14B
MEDIA,0.028650000000000002,0.26104999999999995,0.10056000000000001,624727,2.8649999999999998,26.105,10.056000000000001,qwen2.5_14b,Qwen2.5 14B
