Model_Display,Model_Size,Dataset,Top1_Mean,Top1_Std,Top1_Best,Top5_Mean,Top5_Best,MRR_Mean,MRR_Best,Available_Strategies,Total_Predictions,Strategy_Count,Best_Strategy
Deepseek Coder 33B,33B,middle,0.01,,0.01,0.56,0.56,0.19,0.19,Base,103715,1,Base
Deepseek Coder 33B,33B,penultimate,3.42,1.3,4.34,29.38,35.08,11.49,13.97,"Base, Geospatial",1109552,2,Geospatial
Llama3.1 8B,8B,middle,11.02,3.98,13.83,31.78,50.16,17.16,24.53,"Base, Geospatial",1249016,2,Geospatial
Llama3.1 8B,8B,penultimate,7.48,3.64,10.05,29.06,41.88,14.2,15.83,"Base, Geospatial",1319060,2,Base
Mistral 7B,7B,middle,0.12,,0.12,5.8,5.8,2.18,2.18,Base,416465,1,Base
Mistral 7B,7B,penultimate,11.16,15.62,22.2,28.87,46.37,17.44,30.27,"Base, Geospatial",1116659,2,Geospatial
Mixtral 8X7B,7B,penultimate,6.9,4.61,10.16,34.84,48.29,17.28,23.31,"Base, Geospatial",1166636,2,Geospatial
Qwen2.5 14B,14B,middle,13.68,18.17,26.53,39.56,65.11,22.23,40.0,"Base, Geospatial",981178,2,Geospatial
Qwen2.5 14B,14B,penultimate,11.46,12.11,20.02,40.16,54.14,20.99,31.89,"Base, Geospatial",1249259,2,Geospatial
Qwen2.5 7B,7B,middle,10.0,14.12,19.98,25.62,50.79,14.77,29.34,"Base, Geospatial",1105522,2,Geospatial
Qwen2.5 7B,7B,penultimate,7.21,10.18,14.41,21.64,43.03,11.64,23.16,"Base, Geospatial",1027458,2,Geospatial
